,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Establishment_Year
46,19.6,Low Fat,0.0,Health and Hygiene,153.3024,Medium,Tier 2,Supermarket Type1,2002
47,10.0,Low Fat,0.025879577,Canned,265.2226,Medium,Tier 2,Supermarket Type1,2002
48,15.85,Regular,0.121632721,Baking Goods,60.622,Small,Tier 1,Supermarket Type1,1997
49,12.857645184135976,Regular,0.255394896,Dairy,196.8794,Small,Tier 1,Grocery Store,1985
50,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,Small,Tier 1,Supermarket Type1,1997
51,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,High,Tier 3,Supermarket Type1,1987
52,9.895,Regular,0.028696932,Canned,117.0492,High,Tier 3,Supermarket Type1,1987
53,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,Medium,Tier 2,Supermarket Type1,2007
54,12.15,Low Fat,0.028760013,Household,151.4708,Medium,Tier 2,Supermarket Type1,2007
55,7.905,Low Fat,0.010053105,Snack Foods,249.0408,Medium,Tier 3,Supermarket Type2,2009
56,9.195,Low Fat,0.048157338,Household,106.1622,Medium,Tier 2,Supermarket Type1,2002
57,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,Medium,Tier 1,Supermarket Type1,1999
58,15.1,Low Fat,0.173481304,Snack Foods,194.511,Small,Tier 1,Supermarket Type1,1997
59,12.857645184135976,Low Fat,0.061082177,Canned,180.0344,Small,Tier 1,Grocery Store,1985
60,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,Medium,Tier 3,Supermarket Type2,2009
61,7.97,Regular,0.040071131,Meat,87.3514,Medium,Tier 2,Supermarket Type1,2002
62,12.857645184135976,Low Fat,0.012090074,Fruits and Vegetables,38.2848,Medium,Tier 3,Supermarket Type3,1985
63,12.857645184135976,Regular,0.15028599,Frozen Foods,51.0692,Small,Tier 1,Grocery Store,1985
64,12.857645184135976,Low Fat,0.026015519,Snack Foods,255.8356,Medium,Tier 3,Supermarket Type3,1985
65,17.7,Low Fat,0.195068226,Snack Foods,185.4266,Medium,Tier 3,Grocery Store,1998
66,19.35,Low Fat,0.033082215,Meat,172.5738,Small,Tier 2,Supermarket Type1,2004
67,13.65,Regular,0.078946455,Dairy,186.024,Medium,Tier 2,Supermarket Type1,2002
68,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,Medium,Tier 2,Supermarket Type1,2002
69,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,Small,Tier 1,Supermarket Type1,1997
70,15.6,Regular,0.105296072,Snack Foods,170.1764,Small,Tier 1,Supermarket Type1,1997
71,15.85,Regular,0.121531501,Baking Goods,59.222,High,Tier 3,Supermarket Type1,1987
72,18.25,Low Fat,0.0,Starchy Foods,164.7526,Medium,Tier 2,Supermarket Type1,2002
73,7.855,Low Fat,0.011324862,Canned,189.6188,Medium,Tier 2,Supermarket Type1,2007
74,7.825,Low Fat,0.186357148,Household,254.3698,Medium,Tier 1,Supermarket Type1,1999
75,8.39,Regular,0.024205661,Frozen Foods,114.0176,Small,Tier 1,Supermarket Type1,1997
76,12.85,Low Fat,0.033230816,Snack Foods,172.3422,Medium,Tier 1,Supermarket Type1,1999
77,12.857645184135976,Low Fat,0.113720344,Baking Goods,89.9804,Small,Tier 1,Grocery Store,1985
78,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,Medium,Tier 2,Supermarket Type1,2007
79,5.905,Low Fat,0.0,Canned,222.5456,Medium,Tier 2,Supermarket Type1,2002
80,7.76,Low Fat,0.059352241,Snack Foods,101.87,Small,Tier 1,Supermarket Type1,1997
81,11.8,Regular,0.014087057,Frozen Foods,180.3344,Small,Tier 1,Supermarket Type1,1997
82,16.75,Low Fat,0.045230944,Snack Foods,187.9556,Medium,Tier 3,Supermarket Type2,2009
83,12.857645184135976,Low Fat,0.293417759,Household,194.6136,Small,Tier 1,Grocery Store,1985
84,12.857645184135976,Regular,0.031382044,Baking Goods,171.3764,Medium,Tier 3,Supermarket Type3,1985
85,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,Medium,Tier 2,Supermarket Type1,2007
86,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,Small,Tier 2,Supermarket Type1,2004
87,12.857645184135976,Regular,0.039057677,Breakfast,155.963,Medium,Tier 3,Supermarket Type3,1985
88,6.305,Regular,0.123115764,Snack Foods,95.6436,Small,Tier 1,Supermarket Type1,1997
89,20.85,Low Fat,0.039624006,Meat,117.2808,Medium,Tier 1,Supermarket Type1,1999
90,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,Medium,Tier 3,Grocery Store,1998
91,8.895,Low Fat,0.105274111,Dairy,39.9138,Medium,Tier 1,Supermarket Type1,1999
92,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,Medium,Tier 2,Supermarket Type1,2002
93,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,Small,Tier 2,Supermarket Type1,2004
94,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,Small,Tier 2,Supermarket Type1,2004
95,12.857645184135976,Low Fat,0.009714595,Frozen Foods,120.0414,Small,Tier 1,Grocery Store,1985
96,12.15,Low Fat,0.131383762,Frozen Foods,246.046,Medium,Tier 1,Supermarket Type1,1999
97,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,Small,Tier 2,Supermarket Type1,2004
98,12.857645184135976,Low Fat,0.028459761,Household,149.9708,Medium,Tier 3,Supermarket Type3,1985
99,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,Small,Tier 1,Supermarket Type1,1997
100,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,Medium,Tier 2,Supermarket Type1,2002
101,12.857645184135976,Regular,0.045797829,Snack Foods,178.5344,Medium,Tier 3,Supermarket Type3,1985
102,8.31,Regular,0.115857223,Snack Foods,179.1028,Medium,Tier 1,Supermarket Type1,1999
103,16.75,Regular,0.024832806,Soft Drinks,38.7822,High,Tier 3,Supermarket Type1,1987
104,19.75,Low Fat,0.034027909,Snack Foods,212.0902,Medium,Tier 3,Supermarket Type2,2009
105,17.1,Regular,0.0467696,Canned,141.1838,High,Tier 3,Supermarket Type1,1987
106,10.5,Regular,0.116576702,Baking Goods,163.121,High,Tier 3,Supermarket Type1,1987
107,6.635,Regular,0.0,Baking Goods,121.3098,Medium,Tier 2,Supermarket Type1,2002
108,12.857645184135976,Low Fat,0.278974075,Soft Drinks,225.372,Small,Tier 1,Grocery Store,1985
109,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,High,Tier 3,Supermarket Type1,1987
110,13.3,Low Fat,0.079806266,Dairy,232.53,Small,Tier 1,Supermarket Type1,1997
111,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,Medium,Tier 2,Supermarket Type1,2007
112,12.857645184135976,Regular,0.064625342,Meat,176.937,Small,Tier 1,Grocery Store,1985
113,12.857645184135976,Low Fat,0.071636937,Snack Foods,121.7098,Medium,Tier 3,Supermarket Type3,1985
114,9.1,Regular,0.0,Breads,173.2054,Medium,Tier 2,Supermarket Type1,2002
115,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,Medium,Tier 1,Supermarket Type1,1999
116,16.85,Regular,0.160760054,Frozen Foods,192.4478,Medium,Tier 2,Supermarket Type1,2007
117,7.485,Low Fat,0.06911065,Snack Foods,109.0228,Small,Tier 2,Supermarket Type1,2004
118,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,Medium,Tier 2,Supermarket Type1,2007
119,11.65,Low Fat,0.040081193,Snack Foods,227.0694,Medium,Tier 3,Supermarket Type2,2009
120,13.0,Low Fat,0.035307322,Household,47.5034,Medium,Tier 2,Supermarket Type1,2007
121,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,Medium,Tier 2,Supermarket Type1,2002
122,20.25,Regular,0.171938781,Canned,92.512,Medium,Tier 3,Grocery Store,1998
123,8.6,Regular,0.040197932,Canned,190.153,Small,Tier 2,Supermarket Type1,2004
124,12.6,Low Fat,0.049058014,Breads,62.7194,Medium,Tier 2,Supermarket Type1,2007
125,17.7,Low Fat,0.01161096,Frozen Foods,95.041,Small,Tier 2,Supermarket Type1,2004
126,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,Small,Tier 1,Supermarket Type1,1997
127,19.25,Low Fat,0.102349519,Dairy,52.7956,Medium,Tier 2,Supermarket Type1,2007
128,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,High,Tier 3,Supermarket Type1,1987
129,20.5,Low Fat,0.032835147,Household,40.2822,Medium,Tier 2,Supermarket Type1,2002
130,12.857645184135976,Low Fat,0.033809913,Canned,180.5976,Medium,Tier 3,Supermarket Type3,1985
131,13.5,Low Fat,0.07266912,Household,160.292,Small,Tier 1,Supermarket Type1,1997
132,12.857645184135976,Low Fat,0.144338493,Health and Hygiene,224.4404,Medium,Tier 3,Supermarket Type3,1985
133,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,Medium,Tier 3,Grocery Store,1998
134,7.855,Low Fat,0.011307038,Canned,188.5188,Medium,Tier 3,Supermarket Type2,2009
135,7.235,Low Fat,0.076855628,Household,116.0492,Small,Tier 1,Supermarket Type1,1997
136,12.857645184135976,Low Fat,0.059956876,Starchy Foods,165.4526,Medium,Tier 3,Supermarket Type3,1985
137,6.92,Low Fat,0.038532062,Dairy,60.5852,Medium,Tier 2,Supermarket Type1,2002
138,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,Medium,Tier 2,Supermarket Type1,2007
139,18.5,Low Fat,0.056816465,Others,132.1284,Medium,Tier 3,Grocery Store,1998
140,8.02,Low Fat,0.019866705,Household,154.5972,Small,Tier 2,Supermarket Type1,2004
141,9.195,Low Fat,0.048331717,Household,105.1622,Medium,Tier 2,Supermarket Type1,2007
142,12.8,Low Fat,0.091221855,Others,105.5938,Medium,Tier 2,Supermarket Type1,2002
143,16.6,Low Fat,0.027622076,Household,177.6344,Medium,Tier 1,Supermarket Type1,1999
144,14.0,Regular,0.0,Frozen Foods,53.064,Small,Tier 2,Supermarket Type1,2004
145,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,Medium,Tier 1,Supermarket Type1,1999
146,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,Small,Tier 2,Supermarket Type1,2004
147,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,Small,Tier 2,Supermarket Type1,2004
148,21.25,Low Fat,0.155350299,Snack Foods,178.237,Small,Tier 2,Supermarket Type1,2004
149,7.235,Low Fat,0.076841095,Household,117.5492,Small,Tier 2,Supermarket Type1,2004
150,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,Medium,Tier 2,Supermarket Type1,2007
151,13.85,Regular,0.026001976,Frozen Foods,161.521,Medium,Tier 3,Supermarket Type2,2009
152,13.65,Regular,0.073209447,Frozen Foods,197.6426,Medium,Tier 3,Supermarket Type2,2009
153,12.857645184135976,Low Fat,0.041683481,Soft Drinks,31.29,Medium,Tier 3,Supermarket Type3,1985
154,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,Small,Tier 1,Supermarket Type1,1997
155,18.35,Low Fat,0.014081156,Household,223.5746,Medium,Tier 3,Supermarket Type2,2009
156,5.465,Regular,0.0,Baking Goods,132.5626,Medium,Tier 3,Supermarket Type2,2009
157,18.6,Low Fat,0.152918384,Breakfast,99.8358,Medium,Tier 2,Supermarket Type1,2007
158,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,Medium,Tier 2,Supermarket Type1,2007
159,14.0,Regular,0.060376776,Frozen Foods,154.5656,High,Tier 3,Supermarket Type1,1987
160,14.0,Regular,0.04192285,Snack Foods,54.764,High,Tier 3,Supermarket Type1,1987
161,12.857645184135976,Low Fat,0.077367431,Fruits and Vegetables,97.0094,Medium,Tier 3,Supermarket Type3,1985
162,5.905,Low Fat,0.045838211,Canned,222.5456,Medium,Tier 3,Supermarket Type2,2009
163,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,Small,Tier 1,Supermarket Type1,1997
164,6.155,Regular,0.094659871,Meat,214.556,Small,Tier 1,Supermarket Type1,1997
165,19.5,Regular,0.077608838,Soft Drinks,233.4958,Medium,Tier 2,Supermarket Type1,2007
166,15.2,Low Fat,0.021327477,Canned,216.8824,Medium,Tier 2,Supermarket Type1,2007
167,12.15,Regular,0.042485444,Canned,125.0046,Medium,Tier 3,Supermarket Type2,2009
168,12.857645184135976,Low Fat,0.025578526,Household,198.8084,Medium,Tier 3,Supermarket Type3,1985
169,12.6,Low Fat,0.0489808,Breads,61.9194,Medium,Tier 3,Supermarket Type2,2009
170,14.5,Low Fat,0.019471688,Others,164.821,Small,Tier 2,Supermarket Type1,2004
171,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,Medium,Tier 2,Supermarket Type1,2007
172,11.8,Regular,0.057373797,Meat,151.4366,High,Tier 3,Supermarket Type1,1987
173,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,High,Tier 3,Supermarket Type1,1987
174,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,Medium,Tier 3,Grocery Store,1998
175,17.85,Low Fat,0.0,Breads,196.5794,Medium,Tier 3,Grocery Store,1998
176,12.3,Regular,0.064750025,Starchy Foods,92.6804,Medium,Tier 2,Supermarket Type1,2002
177,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,Medium,Tier 3,Grocery Store,1998
178,12.857645184135976,Regular,0.191013663,Soft Drinks,42.1112,Small,Tier 1,Grocery Store,1985
179,11.1,Low Fat,0.176573035,Baking Goods,157.4604,Medium,Tier 2,Supermarket Type1,2002
180,12.857645184135976,Regular,0.060134441,Frozen Foods,153.0656,Medium,Tier 3,Supermarket Type3,1985
181,11.3,Low Fat,0.007294652,Meat,198.1426,Medium,Tier 2,Supermarket Type1,2002
182,12.857645184135976,Low Fat,0.128478462,Health and Hygiene,117.944,Small,Tier 1,Grocery Store,1985
183,5.75,Regular,0.075107656,Dairy,112.8176,High,Tier 3,Supermarket Type1,1987
184,12.857645184135976,Regular,0.049381406,Baking Goods,226.8062,Medium,Tier 3,Supermarket Type3,1985
185,11.35,Regular,0.045165796,Snack Foods,100.0016,Medium,Tier 3,Supermarket Type2,2009
186,12.857645184135976,Regular,0.09415375,Fruits and Vegetables,165.7526,Small,Tier 1,Grocery Store,1985
187,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,Medium,Tier 1,Supermarket Type1,1999
188,19.75,Regular,0.018059621,Frozen Foods,179.766,Medium,Tier 2,Supermarket Type1,2002
189,6.525,Low Fat,0.090436094,Household,85.0882,Medium,Tier 1,Supermarket Type1,1999
190,10.3,Low Fat,0.146399712,Meat,103.9648,Medium,Tier 1,Supermarket Type1,1999
191,5.78,Regular,0.074264356,Snack Foods,264.7568,Medium,Tier 1,Supermarket Type1,1999
192,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,Medium,Tier 2,Supermarket Type1,2002
193,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,Medium,Tier 3,Supermarket Type2,2009
194,12.857645184135976,Low Fat,0.01561108,Household,182.5976,Medium,Tier 3,Supermarket Type3,1985
195,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,Small,Tier 1,Supermarket Type1,1997
196,19.0,Regular,0.097313129,Frozen Foods,48.0718,Small,Tier 1,Supermarket Type1,1997
197,14.6,Low Fat,0.059582996,Others,238.8538,Medium,Tier 1,Supermarket Type1,1999
198,12.857645184135976,Regular,0.098663652,Dairy,62.9194,Medium,Tier 3,Supermarket Type3,1985
199,12.857645184135976,Regular,0.101338651,Canned,232.63,Medium,Tier 3,Supermarket Type3,1985
200,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,Medium,Tier 2,Supermarket Type1,2002
201,5.26,Regular,0.041764487,Baking Goods,161.8868,Small,Tier 2,Supermarket Type1,2004
202,18.25,Low Fat,0.054344186,Snack Foods,140.2154,Medium,Tier 2,Supermarket Type1,2002
203,12.857645184135976,Low Fat,0.078362484,Baking Goods,177.937,Medium,Tier 3,Supermarket Type3,1985
204,15.1,Low Fat,0.052339069,Meat,242.7512,Small,Tier 1,Supermarket Type1,1997
205,15.5,Regular,0.042464962,Baking Goods,81.5934,Medium,Tier 3,Grocery Store,1998
206,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,Medium,Tier 1,Supermarket Type1,1999
207,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,Medium,Tier 2,Supermarket Type1,2002
208,12.857645184135976,Regular,0.051643608,Snack Foods,107.3622,Small,Tier 1,Grocery Store,1985
209,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,Medium,Tier 3,Grocery Store,1998
210,9.5,Low Fat,0.041878397,Soft Drinks,32.99,Small,Tier 2,Supermarket Type1,2004
211,13.8,Low Fat,0.058091482,Dairy,245.1802,Small,Tier 2,Supermarket Type1,2004
212,5.78,Regular,0.0,Snack Foods,263.7568,Medium,Tier 2,Supermarket Type1,2007
213,19.7,Low Fat,0.026903714,Household,96.0726,Medium,Tier 2,Supermarket Type1,2002
214,14.65,Low Fat,0.0,Household,161.5552,Medium,Tier 3,Grocery Store,1998
215,6.67,Regular,0.150554711,Snack Foods,130.0626,Medium,Tier 3,Grocery Store,1998
216,6.11,Regular,0.0,Fruits and Vegetables,131.2968,Medium,Tier 3,Grocery Store,1998
217,13.65,Regular,0.134975628,Frozen Foods,260.0936,Medium,Tier 3,Grocery Store,1998
218,17.2,Low Fat,0.15616879,Meat,160.6578,High,Tier 3,Supermarket Type1,1987
219,6.32,Low Fat,0.0,Meat,40.2822,Small,Tier 2,Supermarket Type1,2004
220,4.88,Regular,0.133700752,Baking Goods,52.9298,Medium,Tier 1,Supermarket Type1,1999
221,5.425,Regular,0.115119905,Baking Goods,88.3514,Medium,Tier 2,Supermarket Type1,2007
222,15.85,Regular,0.110030997,Frozen Foods,37.2506,Small,Tier 1,Supermarket Type1,1997
223,7.5,Low Fat,0.051038045,Canned,121.7072,Medium,Tier 2,Supermarket Type1,2007
224,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,High,Tier 3,Supermarket Type1,1987
225,12.857645184135976,Low Fat,0.017116983,Others,211.956,Small,Tier 1,Grocery Store,1985
226,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,High,Tier 3,Supermarket Type1,1987
227,12.857645184135976,Low Fat,0.049754975,Dairy,152.134,Small,Tier 1,Grocery Store,1985
228,9.0,Low Fat,0.0,Canned,79.7644,Small,Tier 2,Supermarket Type1,2004
229,12.857645184135976,Low Fat,0.101561568,Canned,181.9292,Medium,Tier 3,Supermarket Type3,1985
230,12.857645184135976,Low Fat,0.005949644,Household,165.6526,Medium,Tier 3,Supermarket Type3,1985
231,12.857645184135976,Regular,0.13956116,Seafood,170.4764,Medium,Tier 3,Supermarket Type3,1985
232,14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,Medium,Tier 2,Supermarket Type1,2002
233,7.55,Low Fat,0.027164679,Canned,152.334,Small,Tier 2,Supermarket Type1,2004
234,13.0,Low Fat,0.099325278,Household,45.406,Small,Tier 1,Supermarket Type1,1997
235,12.857645184135976,Low Fat,0.04357366,Hard Drinks,192.8846,Medium,Tier 3,Supermarket Type3,1985
236,12.857645184135976,Regular,0.082741482,Snack Foods,118.7782,Small,Tier 1,Grocery Store,1985
237,12.3,Regular,0.064565202,Starchy Foods,92.9804,High,Tier 3,Supermarket Type1,1987
238,12.857645184135976,Low Fat,0.084554569,Snack Foods,109.8912,Medium,Tier 3,Supermarket Type3,1985
239,12.857645184135976,Low Fat,0.058451805,Health and Hygiene,79.9618,Medium,Tier 3,Supermarket Type3,1985
240,17.25,Low Fat,0.113748685,Household,251.3724,Medium,Tier 2,Supermarket Type1,2002
241,15.85,Low Fat,0.020603511,Household,42.7112,Medium,Tier 2,Supermarket Type1,2007
242,18.85,Low Fat,0.052044976,Health and Hygiene,192.1846,Small,Tier 2,Supermarket Type1,2004
243,16.35,Regular,0.062764429,Fruits and Vegetables,227.6062,Medium,Tier 2,Supermarket Type1,2007
244,14.1,Low Fat,0.087977262,Dairy,229.0668,Small,Tier 2,Supermarket Type1,2004
245,7.905,Low Fat,0.010010425,Snack Foods,249.0408,Small,Tier 2,Supermarket Type1,2004
246,12.0,Low Fat,0.033946163,Canned,179.3976,High,Tier 3,Supermarket Type1,1987
247,12.15,Regular,0.058414678,Fruits and Vegetables,163.4552,Small,Tier 2,Supermarket Type1,2004
248,10.1,Low Fat,0.027106459,Meat,75.367,Medium,Tier 1,Supermarket Type1,1999
249,17.5,Low Fat,0.027022883,Frozen Foods,262.491,Medium,Tier 2,Supermarket Type1,2007
250,12.857645184135976,Low Fat,0.058153409,Dairy,152.034,Small,Tier 1,Grocery Store,1985
251,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,Medium,Tier 3,Supermarket Type2,2009
252,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,Medium,Tier 1,Supermarket Type1,1999
253,11.8,Regular,0.09357779,Snack Foods,125.9704,High,Tier 3,Supermarket Type1,1987
254,13.15,Regular,0.165694678,Fruits and Vegetables,171.8764,Medium,Tier 2,Supermarket Type1,2002
255,12.857645184135976,Low Fat,0.148392623,Frozen Foods,41.5796,Small,Tier 1,Grocery Store,1985
256,8.5,Low Fat,0.098438394,Canned,51.1324,Medium,Tier 2,Supermarket Type1,2007
257,8.645,Low Fat,0.143303291,Health and Hygiene,96.341,High,Tier 3,Supermarket Type1,1987
258,17.6,Regular,0.076276208,Meat,110.9202,Medium,Tier 2,Supermarket Type1,2002
259,9.1,Low Fat,0.175103435,Baking Goods,127.5362,Medium,Tier 2,Supermarket Type1,2007
260,12.8,Regular,0.023511371,Meat,225.9404,High,Tier 3,Supermarket Type1,1987
261,7.63,Low Fat,0.06105276,Soft Drinks,95.4436,Small,Tier 2,Supermarket Type1,2004
262,9.285,Regular,0.049559042,Frozen Foods,246.4144,Medium,Tier 2,Supermarket Type1,2007
263,13.6,Regular,0.119418124,Dairy,231.03,Medium,Tier 2,Supermarket Type1,2002
264,8.895,Low Fat,0.072545601,Breakfast,176.237,Medium,Tier 2,Supermarket Type1,2002
265,16.35,Low Fat,0.090486828,Household,195.211,High,Tier 3,Supermarket Type1,1987
266,17.6,Low Fat,0.056245075,Frozen Foods,43.3454,High,Tier 3,Supermarket Type1,1987
267,7.975,Low Fat,0.014618973,Baking Goods,85.225,High,Tier 3,Supermarket Type1,1987
268,15.85,Low Fat,0.043479126,Starchy Foods,36.7164,Medium,Tier 2,Supermarket Type1,2007
269,15.7,Low Fat,0.045166237,Frozen Foods,178.666,High,Tier 3,Supermarket Type1,1987
270,8.985,Regular,0.057827101,Frozen Foods,128.831,Small,Tier 1,Supermarket Type1,1997
271,20.35,Low Fat,0.089394766,Dairy,260.1594,High,Tier 3,Supermarket Type1,1987
272,6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908,High,Tier 3,Supermarket Type1,1987
